day,count,w1,w2,w3,species,replicate,jar,community_composition,prey_richness,prey_composition
10,11,0.2686,1,1,Dileptus,1,13,"Colpidium, Collodictyon, Paramecium, Dileptus",3,"Colpidium, Collodictyon, Paramecium"
10,0,0.2973,1,1,Colpidium,2,14,"Colpidium, Collodictyon, Paramecium, Dileptus",3,"Colpidium, Collodictyon, Paramecium"
10,0,0.2973,1,1,Collodictyon,2,14,"Colpidium, Collodictyon, Paramecium, Dileptus",3,"Colpidium, Collodictyon, Paramecium"
10,0,0.2973,1,1,Paramecium,2,14,"Colpidium, Collodictyon, Paramecium, Dileptus",3,"Colpidium, Collodictyon, Paramecium"
10,3,0.2973,1,1,Dileptus,2,14,"Colpidium, Collodictyon, Paramecium, Dileptus",3,"Colpidium, Collodictyon, Paramecium"
12,0,0.3281,1,1,Colpidium,1,1,"Colpidium, Dileptus",1,Colpidium
12,0,0.3281,1,1,Dileptus,1,1,"Colpidium, Dileptus",1,Colpidium
12,0,0.321,1,1,Colpidium,2,2,"Colpidium, Dileptus",1,Colpidium
12,0,0.321,1,1,Dileptus,2,2,"Colpidium, Dileptus",1,Colpidium
12,NA,0.3185,1,1,Collodictyon,1,3,"Collodictyon, Dileptus",1,Collodictyon
12,0,0.3185,1,1,Dileptus,1,3,"Collodictyon, Dileptus",1,Collodictyon
12,NA,0.3228,1,1,Collodictyon,2,4,"Collodictyon, Dileptus",1,Collodictyon
12,0,0.3228,1,1,Dileptus,2,4,"Collodictyon, Dileptus",1,Collodictyon
12,100,0.3146,1,1,Paramecium,1,5,"Paramecium, Dileptus",1,Paramecium
12,0,0.3146,1,1,Dileptus,1,5,"Paramecium, Dileptus",1,Paramecium
12,64,0.3277,1,1,Paramecium,2,6,"Paramecium, Dileptus",1,Paramecium
12,0,0.3277,1,1,Dileptus,2,6,"Paramecium, Dileptus",1,Paramecium
12,NA,0.2588,1,1,Colpidium,1,7,"Colpidium, Collodictyon, Dileptus",2,"Colpidium, Collodictyon"
12,NA,0.0843,1,1,Collodictyon,1,7,"Colpidium, Collodictyon, Dileptus",2,"Colpidium, Collodictyon"
12,0,0.2588,1,1,Dileptus,1,7,"Colpidium, Collodictyon, Dileptus",2,"Colpidium, Collodictyon"
12,NA,0.294,1,1,Colpidium,2,8,"Colpidium, Collodictyon, Dileptus",2,"Colpidium, Collodictyon"
12,NA,0.0843,1,1,Collodictyon,2,8,"Colpidium, Collodictyon, Dileptus",2,"Colpidium, Collodictyon"
12,0,0.3397,1,1,Dileptus,2,8,"Colpidium, Collodictyon, Dileptus",2,"Colpidium, Collodictyon"
12,1,0.3506,1,1,Colpidium,1,9,"Colpidium, Paramecium, Dileptus",2,"Colpidium, Paramecium"
12,47,0.3506,1,1,Paramecium,1,9,"Colpidium, Paramecium, Dileptus",2,"Colpidium, Paramecium"
12,0,0.3506,1,1,Dileptus,1,9,"Colpidium, Paramecium, Dileptus",2,"Colpidium, Paramecium"
